clause_id,clause_type,contract_name,text,char_len
cap_019_d03dcb,Cap On Liability,MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,"IBM's entire liability and MSL's exclusive remedy for actual damages from       cause whatsoever relating to the subject matter of this Agreement will be       limited to the amount of $25,000.",193
cap_020_b30f0d,Cap On Liability,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,"NEITHER PARTY SHALL HAVE ANY LIABILITY FOR ANY INDIRECT, SPECIAL, PUNITIVE OR CONSEQUENTIAL DAMAGES INCLUDING, WITHOUT THE LIMITATION, LOSS OF PROFIT OR BUSINESS OPPORTUNITIES, WHETHER OR NOT THE PARTY WAS ADVISED OF THE POSSIBILTY OF SUCH.",240
cap_021_5429e8,Cap On Liability,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,"Notwithstanding anything to the contrary in      ----------------------- this Agreement, in no event shall either party's liability under any provision of this Agreement or otherwise arising out of or related to this Agreement (other than payments due or accrued under Section 8, exceed the amounts paid by MBE and the MBE Centers to the Company pursuant to this Agreement.",373
cap_022_2f033b,Cap On Liability,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,Neither party will bring a legal action related to this Agreement more than two years after the cause of action accrued.,120
cap_023_cc75fc,Cap On Liability,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.pdf,Licensor's total liability to Licensee under any provision of this Agreement shall be limited to the amount actually paid by Licensee to Licensor for the Licensed Product giving rise to the liability.,200
cap_024_f97dc1,Cap On Liability,EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF,"THE WARRANTIES OF WGT AND THE REMEDIES OF      DISTRIBUTOR SET FORTH IN PARGRAPHS 14 AND 15 ARE EXCLUSIVE AND IN      SUBSTITUTION FOR, AND DISTRIBUTOR HEREBY WAIVES, RELEASES AND DISCLAIMS.",190
cap_025_4d50de,Cap On Liability,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,"If a Buyer receives a product that fails to conform to these representations and warranties, the sole remedies of Buyer for the breach of warranty will be to: (1) reject and return the non-conforming product to Seller for a refund or credit, or a replacement conforming product, in the manner and time period provided in the SOP; (2) obtain reimbursement from Seller for actual, reasonable, substantiated out-of-pocket expenses incurred by Buyer in the recovery, return or disposal of a non-conforming product that is the subject of a mandatory product recall required under Applicable Laws or a voluntary withdrawal declared by Seller or approved by Seller (such approval not to be unreasonably withheld, conditioned or delayed); and (3) obtain indemnification from Seller for any Indemnified Claim arising from or related to the non-conforming product as provided in Section 7.",879
cap_026_6c95bf,Cap On Liability,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,"EXCEPT UNDER SECTIONS 13(a) AND 13(b), IN NO EVENT WILL EITHER PARTY             BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL             DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING             NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED             OF THE POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF EITHER PARTY FOR             DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR             ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE             AMOUNTS TO BE PAID BY CLIENT TO EXCITE HEREUNDER.",601
cap_027_e24603,Cap On Liability,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF","In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto.",362
cap_028_1f52b5,Cap On Liability,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.pdf,"If such error or discrepancy is not resolved within thirty (30) days after Licensee's<omitted>written notice to Licensor, then Licensee as its sole remedy may (a) extend  the correction period to a date which is agreeable to Licensor and Licensee  or (b) return all copies of the Licensed Products to Licensor with a  certification by an authorized representative of Licensee that all copies  have been returned to Licensor or have been destroyed and that Licensee has  not retained any copies thereof and Licensor shall refund to Licensee the  amount paid by Licensee to Licensor for such Licensed Products.",608
cap_029_a57f00,Cap On Liability,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,"EXCEPT AS SET FORTH IN SECTION 6.3, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES ARISING OUT OF THIS AGREEMENT OR ITS TERMINATION, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) STRICT LIABILITY OR OTHERWISE AND IRRESPECTIVE OF WHETHER SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE.",406
cap_030_a4b661,Cap On Liability,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,PageMaster Corporations' liability shall in no event exceed an amount equivalent to the amounts received by PageMaster Corporation hereunder.,141
cap_031_10820f,Cap On Liability,N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"EXCEPT UNDER SECTION 13(c) and (d), IN NO EVENT WILL EITHER                   PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR                   CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT,                   TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT                   PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",371
cap_032_cbd365,Cap On Liability,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,"IN NO EVENT WILL WEBMD OR ITS SUPPLIERS OR LICENSORS BE LIABLE UNDER ANY THEORY OF LIABILITY, HOWEVER ARISING, FOR ANY COSTS OF COVER OR FOR INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES OF ANY KIND ARISING OUT OF THIS AGREEMENT, OR THE PROVISION OR USE OF CONTENT, EVEN IF WEBMD HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",342
cap_033_e28fbd,Cap On Liability,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,"A claim must be filed with Carrier within     thirty (30) days from the date the shipment in question was delivered, and     (i) contain facts sufficient to identify the shipment (or shipments)     involved (ii) assert the grounds for Carrier's liability for alleged loss,     damage, injury, or delay, and (iii) request payment of a specified or     determinable amount of money.",380
cap_034_ed5cfa,Cap On Liability,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,"Except as provided by Sections 19(a)(iii)(2), (a)(iii)(3), (b)(iii)(2) and      (b)(iii)(3):

  a)   Neither party will have liability for any damages other than direct           damages. In no event will either party be liable to the other for any           special, incidental or consequential damages, whether based on breach           of contract, tort (including negligence) or otherwise, whether or not           that party has been advised of the possibility of such damage.

  b)   Either party's liability for damages shall be limited to the amounts           actually paid by the other party.",602
cap_035_2f033b,Cap On Liability,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.PDF,Neither party will bring a legal action related to this Agreement more than two years after the cause of action accrued.,120
cap_036_da755c,Cap On Liability,PLAYAHOTELS&RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).PDF,"In any action or proceeding between the Parties (including any arbitration proceeding) arising under or with respect to this Agreement or in any manner pertaining to the Hyatt All-Inclusive Resorts or to the relationship of the Parties under this Agreement, each Party hereby unconditionally and irrevocably waives and releases any right, power or privilege either may have to claim or receive from the other Party any punitive or exemplary damages, each Party acknowledging and agreeing that the remedies herein provided and other remedies at law or in equity will in all circumstances be adequate.",599
cap_037_5c1c58,Cap On Liability,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.pdf","EXCEPT FOR DAMAGES ARISING UNDER SECTIONS 14.A AND 16.A, IN NO EVENT WILL NETGEAR's OR BAY NETWORKS' TOTAL LIABILITY FOR ANY DAMAGES IN ANY ACTION BASED ON OR ARISING OUT OF OR IN CONNECTION WITH THE AGREEMENT EXCEED THE [*] TO NETGEAR PURSUANT TO THE AGREEMENT.",262
cap_038_b5f5b9,Cap On Liability,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,"IN NO EVENT WILL CONTENT PROVIDER BE LIABLE TO COMPANY NOR WILL COMPANY BE LIABLE TO CONTENT PROVIDER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. TH  LIABILITY OF CONTENT PROVIDER FOR DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT<omitted>OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND SHALL NOT EXCEED $31,200.00.",478
cap_039_91b425,Cap On Liability,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.PDF","NOTWITHSTANDING ANYTHING IN THIS AGREEMENT TO THE CONTRARY, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR INDIRECT DAMAGES ARISING OUT OF THIS AGREEMENT, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY.",240
cap_040_16ae56,Cap On Liability,"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","The Party subject to the Force Majeure Event shall not be liable to the other Party for any direct, indirect, consequential, incidental, special, punitive, exemplary or other damages arising out of or relating to the suspension or termination of any of its obligations or duties under this Agreement by reason of the occurrence of a Force Majeure Event, provided such Party complies in all material respects with its obligations under this Section 16.3.",453
cap_041_704d2e,Cap On Liability,VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,The sole remedy for any breach of Section 6.1 (d) and (e) shall be the provisions in Section 7.1.,97
cap_042_ea92b4,Cap On Liability,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), WITH RESPECT [* * *], IN NO EVENT SHALL A PARTY'S LIABILITY BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",205
cap_043_21c636,Cap On Liability,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.pdf,"NCC shall in no circumstances be liable to the Owner or the Licensee             for indirect or consequential loss of any nature whatsoever whether             for loss of profit, loss of business or otherwise.",211
cap_044_055229,Cap On Liability,DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,"The Parties        acknowledge that their contract of carriage with their customers provides        that liability for loss, damage or delay, including liability for        consequential loss, is limited to Four Dollars and Forty One Cents        ($4.41) per kilogram or Two Dollars ($2.00) per pound unless a higher        value has been declared for insurance purposes.",371
cap_045_517128,Cap On Liability,"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","IN NO EVENT SHALL COMPANY'S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT EXCEED THE AMOUNTS PAID BY COMPANY TO CONSULTANT UNDER THIS AGREEMENT FOR THE SERVICES, DELIVERABLES OR INVENTION GIVING RISE TO SUCH LIABILITY.",244
cap_046_2d0517,Cap On Liability,N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"THE                   LIABILITY OF EXCITE FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER,                   WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS                   LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS ACTUALLY PAID BY                   SPONSOR TO EXCITE HEREUNDER.",284
cap_047_a8b073,Cap On Liability,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF',"In no event shall Kallo be liable for indirect, consequential, or incidental damages (including damages for loss of  business profits, business interruption, loss of business information, and the like) arising out of the relationship  between Kallo and Agent even if it has been advised of the possibility of such damages.",322
cap_048_cb07cd,Cap On Liability,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY INCIDENTAL, CONSEQUENTIAL, INDIRECT, SPECIAL, OR PUNITIVE DAMAGES (INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION OR OTHER PECUNIARY LOSS) REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",492
cap_049_c60712,Cap On Liability,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement.",307
cap_050_31f7c9,Cap On Liability,VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,"Unless otherwise provided by local law without the possibility of contractual waiver or limitation, any legal or other action related to this Agreement must be commenced no later than two years from the date on which the cause of action arose.",243
cap_051_d084c0,Cap On Liability,MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,"The total liability for either Party, regardless of the form of             action, whether contract or tort, is limited to three percent (3%)             of the value of the bill of materials contained in the Products             delivered to IBM and IBM Customers by MSL in the period beginning             with the Effective Date of the Agreement through the resolution of             the action.",399
cap_052_82e721,Cap On Liability,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,"THE LIABILITY OF PRIMECALL FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, DELTATHREE'S DIRECT DAMAGES.",186
cap_053_2273d7,Cap On Liability,MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,"In no event shall either party be liable for           ---------------------      any special, incidental or consequential damages arising out of or in      connection with this Agreement or the performance thereof.  FNW's liability      for any breach of this Agreement shall be strictly limited to refunding to      Sponsor that portion of any consideration paid by Sponsor for which Sponsor      has not received the rights granted to it herein.",448
cap_054_af1110,Cap On Liability,"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF","Notwithstanding the provisions of this Section 7(d), the  Remarketing Agent shall not be required to contribute any amount in excess of the total price at which Remarketing Securities distributed in the  Remarketing exceed the amount of any damages which the Remarketing Agent has otherwise paid or become liable to pay by reason of any untrue  or alleged untrue statement or omission or alleged omission.",405
cap_055_1136c8,Cap On Liability,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF","Miltenyi will not in any event be liable for increased manufacturing costs, downtime costs, purchase of substitute products, lost profits, revenue, or goodwill, or any other indirect incidental, special, or consequential damages caused by a breach of the Miltenyi Product Warranty or the warranties in Section 11.2.",315
cap_056_9aeff3,Cap On Liability,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,"Except for claims under Sections 11.4  [Indemnification by LeadersOnline] and 11.5  [Indemnification by VerticalNet] hereof, neither Party may bring a claim or action regardless of form, arising out of or related to<omitted>this Agreement, including any claim of fraud or misrepresentation, more than two years after the cause of action accrues or becomes known, whichever is later.",382
cap_057_486a47,Cap On Liability,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.pdf,THE REMEDIES SPECIFIED ABOVE SHALL BE THE SOLE AND EXCLUSIVE REMEDIES OF LICENSEE REGARDING THE LICENSED PRODUCTS.,114
cap_058_075509,Cap On Liability,"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","Neither the Company nor the Consultant shall be liable for any consequential loss, including but not limited to, claims for loss of profit, revenue or capital, loss of use of utilities, equipment or facilities, down-time cost, service interruption, cost of money, injury or damage of any character whatsoever.",309
cap_059_aa1cb5,Cap On Liability,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,IN NO EVENT SHALL JRVS'S LIABILITY ARISING OUT OF THIS AGREEMENT EXCEED THE AMOUNT RECEIVED BY JRVS FROM THE DISTRIBUTOR HEREUNDER FOR THE PRODUCT GIVING RISE TO THE LIABILITY.,176
